x,汇率-人民币-1元人民币（零售）,汇率-人民币-1元人民币（批发）,汇率-人民币-10000代币券（代币券商城）
17.06.10,0.0,,
17.06.13,0.0,,
17.06.14,0.0,,
17.06.15,0.0,,
17.06.16,0.0,,
17.06.17,0.0,,
17.06.18,0.0,,
17.06.19,0.0,,
17.06.20,0.0,,
17.06.21,0.0,,
17.06.22,0.0,,
17.06.23,0.0,,
17.06.24,0.0,,
17.06.25,0.0,,
17.06.26,0.0,,
17.06.27,0.0,,
17.06.28,0.0,,
17.06.29,0.0,,
17.06.30,0.0,,
17.07.01,0.0,,
17.07.02,0.0,,
17.07.03,0.0,,
17.07.04,0.0,,
17.07.05,0.0,,
17.07.06,0.0,,
17.07.07,0.0,,
17.07.08,0.0,,
17.07.09,0.0,,
17.07.10,0.0,,
17.07.11,0.0,,
17.07.12,0.0,,
17.07.13,0.0,,
17.07.14,0.0,,
17.07.15,0.0,,
17.07.16,0.0,,
17.07.17,0.0,,
17.07.18,0.0,,
17.07.19,0.0,,
17.07.20,0.0,,
17.07.21,0.0,,
17.07.22,0.0,,
17.07.23,0.0,,
17.07.24,0.0,,
17.07.25,0.0,,
17.07.26,0.0,,
17.07.27,0.0,,
17.07.28,0.0,,
17.07.29,0.0,,
17.07.30,0.0,,
17.07.31,0.0,,
17.08.01,0.0,,
17.08.02,0.0,,
17.08.03,0.0,,
17.08.04,0.0,,
17.08.05,0.0,,
17.08.06,0.0,,
17.08.07,0.0,,
17.08.08,0.0,,
17.08.09,0.0,,
17.08.10,0.0,,
17.08.11,0.0,,
17.08.12,0.0,,
17.08.13,0.0,,
17.08.14,0.0,,
17.08.15,0.0,,
17.08.16,0.0,,
17.08.17,0.0,,
17.08.18,0.0,,
17.08.19,0.0,,
17.08.20,0.0,,
17.08.21,0.0,,
17.08.22,0.0,,
17.08.23,0.0,,
17.08.24,0.0,,
17.08.25,0.0,,
17.08.26,0.0,,
17.08.27,0.0,,
17.08.28,0.0,,
17.08.29,0.0,,
17.08.30,0.0,,
17.08.31,0.0,,
17.09.01,0.0,,
17.09.02,0.0,,
17.09.03,0.0,,
17.09.04,0.0,,
17.09.05,0.0,,
17.09.06,0.0,,
17.09.07,0.0,,
17.09.08,0.0,,
17.09.09,0.0,,
17.09.10,0.0,,
17.09.11,0.0,,
17.09.12,0.0,,
17.09.13,0.0,,
17.09.14,0.0,,
17.09.15,0.0,,
17.09.16,0.0,,
17.09.17,0.0,,
17.09.18,0.0,,
17.09.19,0.0,,
17.09.20,0.0,,
17.09.21,0.0,,
17.09.22,0.0,,
17.09.23,0.0,,
17.09.24,0.0,,
17.09.25,0.0,,
17.09.26,0.0,,
17.09.27,0.0,,
17.09.28,0.0,,
17.09.29,0.0,,
17.09.30,0.0,,
17.10.01,0.0,,
17.10.02,0.0,,
17.10.03,0.0,,
17.10.04,0.0,,
17.10.05,0.0,,
17.10.06,0.0,,
17.10.07,0.0,,
17.10.08,0.0,,
17.10.09,0.0,,
17.10.10,0.0,,
17.10.11,0.0,,
17.10.12,0.0,,
17.10.13,0.0,,
17.10.14,0.0,,
17.10.15,0.0,,
17.10.16,0.0,,
17.10.17,0.0,,
17.10.18,0.0,,
17.10.19,0.0,,
17.10.20,0.0,,
17.10.21,0.0,,
17.10.22,0.0,,
17.10.23,0.0,,
17.10.24,0.0,,
17.10.25,0.0,,
17.10.26,0.0,,
17.10.27,0.0,,
17.10.28,0.0,,
17.10.29,0.0,,
17.10.30,0.0,,
17.10.31,0.0,,
17.11.01,0.0,,
17.11.02,0.0,,
17.11.03,0.0,,
17.11.04,0.0,,
17.11.05,0.0,,
17.11.06,0.0,,
17.11.07,0.0,,
17.11.08,0.0,,
17.11.09,0.0,,
17.11.10,0.0,,
17.11.11,0.0,,
17.11.12,0.0,,
17.11.13,0.0,,
17.11.14,0.0,,
17.11.15,0.0,,
17.11.16,0.0,,
17.11.17,0.0,,
17.11.18,0.0,,
17.11.19,0.0,,
17.11.20,0.0,,
17.11.21,0.0,,
17.11.22,0.0,,
17.11.23,0.0,,
17.11.24,0.0,,
17.11.25,0.0,,
17.11.26,0.0,,
17.11.27,0.0,,
17.11.28,0.0,,
17.11.29,0.0,,
17.11.30,0.0,,
17.12.01,0.0,,
17.12.02,0.0,,
17.12.03,0.0,,
17.12.04,0.0,,
17.12.05,0.0,,
17.12.06,0.0,,
17.12.07,0.0,,
17.12.08,0.0,,
17.12.09,0.0,,
17.12.10,0.0,,
17.12.11,0.0,,
17.12.12,0.0,,
17.12.13,0.0,,
17.12.14,0.0,,
17.12.15,0.0,,
17.12.16,0.0,,
17.12.17,0.0,,
17.12.18,0.0,,
17.12.19,0.0,,
17.12.20,0.0,,
17.12.21,0.0,,
17.12.22,0.0,,
17.12.23,0.0,,
17.12.24,0.0,,
17.12.25,0.0,,
17.12.26,0.0,,
17.12.27,0.0,,
17.12.28,0.0,,
17.12.29,0.0,,
17.12.30,0.0,,
17.12.31,0.0,,
18.01.01,0.0,,
18.01.02,0.0,,
18.01.03,0.0,,
18.01.04,0.0,,
18.01.05,0.0,,
18.01.06,0.0,,
18.01.07,0.0,,
18.01.08,0.0,,
18.01.09,0.0,,
18.01.10,0.0,,
18.01.11,0.0,,
18.01.12,0.0,,
18.01.13,0.0,,
18.01.14,0.0,,
18.01.15,0.0,,
18.01.16,0.0,,
18.01.17,0.0,,
18.01.18,0.0,,
18.01.19,0.0,,
18.01.20,0.0,,
18.01.21,0.0,,
18.01.22,0.0,,
18.01.23,0.0,,
18.01.24,0.0,,
18.01.25,0.0,,
18.01.26,0.0,,
18.01.27,0.0,,
18.01.28,0.0,,
18.01.29,0.0,,
18.01.30,0.0,,
18.01.31,0.0,,
18.02.01,0.0,,
18.02.02,0.0,,
18.02.03,0.0,,
18.02.04,0.0,,
18.02.05,0.0,,
18.02.06,0.0,,
18.02.07,0.0,,
18.02.08,0.0,,
18.02.09,0.0,,
18.02.10,0.0,,
18.02.11,0.0,,
18.02.12,0.0,,
18.02.13,0.0,,
18.02.14,0.0,,
18.02.15,0.0,,
18.02.16,0.0,,
18.02.17,0.0,,
18.02.18,0.0,,
18.02.19,0.0,,
18.02.20,0.0,,
18.02.21,0.0,,
18.02.22,0.0,,
18.02.23,0.0,,
18.02.24,0.0,,
18.02.25,0.0,,
18.02.26,0.0,,
18.02.27,0.0,,
18.02.28,0.0,,
18.03.01,0.0,,
18.03.02,0.0,,
18.03.03,0.0,,
18.03.04,0.0,,
18.03.05,0.0,,
18.03.06,0.0,,
18.03.07,0.0,,
18.03.08,0.0,,
18.03.09,0.0,,
18.03.10,0.0,,
18.03.11,0.0,,
18.03.12,0.0,,
18.03.13,0.0,,
18.03.14,0.0,,
18.03.15,0.0,,
18.03.16,0.0,,
18.03.17,0.0,,
18.03.18,0.0,,
18.03.19,0.0,,
18.03.20,0.0,,
18.03.21,0.0,,
18.03.22,0.0,,
18.03.23,0.0,,
18.03.24,0.0,,
18.03.25,0.0,,
18.03.27,0.0,,
18.03.28,0.0,,
18.03.29,0.0,,
18.03.30,0.0,,
18.03.31,0.0,,
18.04.01,0.0,,
18.04.02,0.0,,
18.04.03,0.0,,
18.04.04,0.0,,
18.04.05,0.0,,
18.04.06,0.0,,
18.04.07,0.0,,
18.04.08,0.0,,
18.04.09,0.0,,
18.04.10,0.0,,
18.04.11,0.0,,
18.04.12,0.0,,
18.04.13,0.0,,
18.04.14,0.0,,
18.04.15,0.0,,
18.04.16,0.0,,
18.04.17,0.0,,
18.04.18,0.0,,
18.04.19,0.0,,
18.04.20,0.0,,
18.04.21,0.0,,
18.04.22,0.0,,
18.04.23,0.0,,
18.04.24,0.0,,
18.04.25,0.0,,
18.04.26,0.0,,
18.04.27,0.0,,
18.04.28,0.0,,
18.04.29,0.0,,
18.04.30,0.0,,
18.05.01,0.0,,
18.05.02,0.0,,
18.05.03,0.0,,
18.05.04,0.0,,
18.05.05,0.0,,
18.05.06,0.0,,
18.05.07,0.0,,
18.05.08,0.0,,
18.05.09,0.0,,
18.05.10,0.0,,
18.05.11,0.0,,
18.05.12,0.0,,
18.05.13,0.0,,
18.05.14,0.0,,
18.05.15,0.0,,
18.05.16,0.0,,
18.05.17,0.0,,
18.05.18,0.0,,
18.05.19,0.0,,
18.05.20,0.0,,
18.05.21,0.0,,
18.05.22,0.0,,
18.05.23,0.0,,
18.05.24,0.0,,
18.05.25,0.0,,
18.05.26,0.0,,
18.05.27,0.0,,
18.05.28,0.0,,
18.05.29,0.0,,
18.05.30,0.0,,
18.05.31,0.0,,
18.06.01,0.0,,
18.06.02,0.0,,
18.06.03,0.0,,
18.06.04,0.0,,
18.06.05,0.0,,
18.06.06,0.0,,
18.06.07,0.0,,
18.06.08,0.0,,
18.06.09,0.0,,
18.06.10,0.0,,
18.06.11,0.0,,
18.06.12,0.0,,
18.06.13,0.0,,
18.06.14,0.0,,
18.06.15,0.0,,
18.06.16,0.0,,
18.06.17,0.0,,
18.06.18,0.0,,
18.06.19,0.0,,
18.06.20,0.0,,
18.06.21,0.0,,
18.06.22,0.0,,
18.06.23,0.0,,
18.06.24,0.0,,
18.06.25,0.0,,
18.06.26,0.0,,
18.06.27,0.0,,
18.06.28,0.0,,
18.06.29,0.0,,
18.06.30,0.0,,
18.07.01,0.0,,
18.07.02,0.0,,
18.07.03,0.0,,
18.07.04,0.0,,
18.07.05,0.0,,
18.07.06,0.0,,
18.07.07,0.0,,
18.07.08,0.0,,
18.07.09,0.0,,
18.07.10,0.0,,
18.07.11,0.0,,
18.07.12,0.0,,
18.07.13,0.0,,
18.07.14,0.0,,
18.07.15,0.0,,
18.07.16,0.0,,
18.07.17,0.0,,
18.07.18,0.0,,
18.07.19,0.0,,
18.07.20,0.0,,
18.07.21,0.0,,
18.07.22,0.0,,
18.07.23,0.0,,
18.07.24,0.0,,
18.07.25,0.0,,
18.07.26,0.0,,
18.07.27,0.0,,
18.07.28,0.0,,
18.07.29,0.0,,
18.07.30,0.0,,
18.07.31,0.0,,
18.08.01,0.0,,
18.08.02,0.0,,
18.08.03,0.0,,
18.08.04,0.0,,
18.08.05,0.0,,
18.08.06,0.0,,
18.08.07,0.0,,
18.08.08,0.0,,
18.08.09,0.0,,
18.08.10,0.0,,
18.08.11,0.0,,
18.08.12,0.0,,
18.08.13,0.0,,
18.08.14,0.0,,
18.08.15,0.0,,
18.08.16,0.0,,
18.08.17,0.0,,
18.08.18,0.0,,
18.08.19,0.0,,
18.08.20,0.0,,
18.08.21,0.0,,
18.08.22,0.0,,
18.08.23,0.0,,
18.08.24,0.0,,
18.08.25,0.0,,
18.08.26,0.0,,
18.08.27,0.0,,
18.08.28,0.0,,
18.08.29,0.0,,
18.08.30,0.0,,
18.08.31,0.0,,
18.09.01,0.0,,
18.09.02,0.0,,
18.09.03,0.0,,
18.09.04,0.0,,
18.09.05,0.0,,
18.09.06,0.0,,
18.09.07,0.0,,
18.09.08,0.0,,
18.09.09,0.0,,
18.09.10,0.0,,
18.09.11,0.0,,
18.09.12,0.0,,
18.09.13,0.0,,
18.09.14,0.0,,
18.09.15,0.0,,
18.09.16,0.0,,
18.09.17,0.0,,
18.09.18,0.0,,
18.09.19,0.0,,
18.09.20,0.0,,
18.09.21,0.0,,
18.09.22,0.0,,
18.09.23,0.0,,
18.09.24,0.0,,
18.09.25,0.0,,
18.09.26,0.0,,
18.09.27,0.0,,
18.09.28,0.0,,
18.09.29,0.0,,
18.09.30,0.0,,
18.10.01,0.0,,
18.10.02,0.0,,
18.10.03,0.0,,
18.10.04,0.0,,
18.10.05,0.0,,
18.10.06,0.0,,
18.10.07,0.0,,
18.10.08,0.0,,
18.10.09,0.0,,
18.10.10,0.0,,
18.10.11,0.0,,
18.10.12,0.0,,
18.10.13,0.0,,
18.10.14,0.0,,
18.10.15,0.0,,
18.10.16,0.0,,
18.10.17,0.0,,
18.10.18,0.0,,
18.10.19,0.0,,
18.10.20,0.0,,
18.10.21,0.0,,
18.10.22,0.0,,
18.10.23,0.0,,
18.10.24,0.0,,
18.10.25,0.0,,
18.10.26,0.0,,
18.10.27,0.0,,
18.10.28,0.0,,
18.10.29,0.0,,
18.10.30,0.0,,
18.10.31,0.0,,
18.11.01,0.0,,
18.11.02,0.0,,
18.11.03,0.0,,
18.11.04,0.0,,
18.11.05,0.0,,
18.11.06,0.0,,
18.11.07,0.0,,
18.11.08,0.0,,
18.11.09,0.0,,
18.11.10,0.0,,
18.11.11,0.0,,
18.11.12,0.0,,
18.11.13,0.0,,
18.11.14,0.0,,
18.11.15,0.0,,
18.11.16,0.0,,
18.11.17,0.0,,
18.11.18,0.0,,
18.11.19,0.0,,
18.11.20,0.0,,
18.11.21,0.0,,
18.11.22,0.0,,
18.11.23,0.0,,
18.11.24,0.0,,
18.11.25,0.0,,
18.11.26,0.0,,
18.11.27,0.0,,
18.11.28,0.0,,
18.11.29,0.0,,
18.11.30,0.0,,
18.12.01,0.0,,
18.12.02,0.0,,
18.12.03,0.0,,
18.12.04,0.0,,
18.12.05,0.0,,
18.12.06,0.0,,
18.12.07,0.0,,
18.12.08,0.0,,
18.12.09,0.0,,
18.12.10,0.0,,
18.12.11,0.0,,
18.12.12,0.0,,
18.12.13,0.0,,
18.12.14,0.0,,
18.12.15,0.0,,
18.12.16,0.0,,
18.12.17,0.0,,
18.12.18,0.0,,
18.12.19,0.0,,
18.12.20,0.0,,
18.12.21,0.0,,
18.12.22,0.0,,
18.12.23,0.0,,
18.12.24,0.0,,
18.12.25,0.0,,
18.12.26,0.0,,
18.12.27,0.0,,
18.12.28,0.0,,
18.12.29,0.0,,
18.12.30,0.0,,
18.12.31,0.0,,
19.01.01,0.0,,
19.01.02,0.0,,
19.01.03,0.0,,
19.01.04,0.0,,
19.01.05,0.0,,
19.01.06,0.0,,
19.01.07,0.0,,
19.01.08,0.0,,
19.01.09,0.0,,
19.01.10,0.0,,
19.01.11,0.0,,
19.01.12,0.0,,
19.01.13,0.0,,
19.01.14,0.0,,
19.01.15,0.0,,
19.01.16,0.0,,
19.01.17,0.0,,
19.01.18,0.0,,
19.01.19,0.0,,
19.01.20,0.0,,
19.01.21,0.0,,
19.01.22,0.0,,
19.01.23,0.0,,
19.01.24,0.0,,
19.01.25,0.0,,
19.01.26,0.0,,
19.01.27,0.0,,
19.01.28,0.0,,
19.01.29,0.0,,
19.01.30,0.0,,
19.01.31,0.0,,
19.02.01,0.0,,
19.02.02,0.0,,
19.02.03,0.0,,
19.02.04,0.0,,
19.02.05,0.0,,
19.02.06,0.0,,
19.02.07,0.0,,
19.02.08,0.0,,
19.02.09,0.0,,
19.02.10,0.0,,
19.02.11,0.0,,
19.02.12,0.0,,
19.02.13,0.0,,
19.02.14,0.0,,
19.02.15,0.0,,
19.02.16,0.0,,
19.02.17,0.0,,
19.02.18,0.0,,
19.02.19,0.0,,
19.02.20,0.0,,
19.02.21,0.0,,
19.02.22,0.0,,
19.02.23,0.0,,
19.02.24,0.0,,
19.02.25,0.0,,
19.02.26,0.0,,
19.02.27,0.0,,
19.02.28,0.0,,
19.03.01,0.0,,
19.03.02,0.0,,
19.03.03,0.0,,
19.03.04,0.0,,
19.03.05,0.0,,
19.03.06,0.0,,
19.03.07,0.0,,
19.03.08,0.0,,
19.03.09,0.0,,
19.03.10,0.0,,
19.03.11,0.0,,
19.03.12,0.0,,
19.03.13,0.0,,
19.03.14,0.0,,
19.03.15,0.0,,
19.03.16,0.0,,
19.03.17,0.0,,
19.03.18,0.0,,
19.03.19,0.0,,
19.03.20,0.0,,
19.03.21,0.0,,
19.03.22,0.0,,
19.03.23,0.0,,
19.03.24,0.0,,
19.03.25,0.0,,
19.03.26,0.0,,
19.03.27,0.0,,
19.03.28,0.0,,
19.03.29,0.0,,
19.03.30,0.0,,
19.03.31,0.0,,
19.04.01,0.0,,
19.04.02,0.0,,
19.04.03,0.0,,
19.04.04,0.0,,
19.04.05,0.0,,
19.04.06,0.0,,
19.04.07,0.0,,
19.04.08,0.0,,
19.04.09,0.0,,
19.04.10,0.0,,
19.04.11,0.0,,
19.04.12,0.0,,
19.04.13,0.0,,
19.04.14,0.0,,
19.04.15,0.0,,
19.04.16,0.0,,
19.04.17,0.0,,
19.04.18,0.0,,
19.04.19,0.0,,
19.04.20,0.0,,
19.04.21,0.0,,
19.04.22,0.0,,
19.04.23,0.0,,
19.04.24,0.0,,
19.04.25,0.0,,
19.04.26,0.0,,
19.04.27,0.0,,
19.04.28,0.0,,
19.04.29,0.0,,
19.04.30,0.0,,
19.05.01,0.0,,
19.05.02,0.0,,
19.05.03,0.0,,
19.05.04,0.0,,
19.05.05,0.0,,
19.05.06,0.0,,
19.05.07,0.0,,
19.05.08,0.0,,
19.05.09,0.0,,
19.05.10,0.0,,
19.05.11,0.0,,
19.05.12,0.0,,
19.05.13,0.0,,
19.05.14,0.0,,
19.05.15,0.0,,
19.05.16,0.0,,
19.05.19,0.0,,
19.05.20,0.0,,
19.05.21,0.0,,
19.05.22,0.0,,
19.05.23,0.0,,
19.05.24,0.0,,
19.05.25,0.0,,
19.05.26,0.0,,
19.05.27,0.0,,
19.05.28,0.0,,
19.05.29,0.0,,
19.05.30,0.0,,
19.05.31,0.0,,
19.06.01,0.0,,
19.06.02,0.0,,
19.06.03,0.0,,
19.06.04,0.0,0.0,0.0
19.06.05,0.0,0.0,0.0
19.06.06,0.0,0.0,0.0
19.06.07,0.0,0.0,0.0
19.06.08,0.0,0.0,0.0
19.06.09,0.0,0.0,0.0
19.06.10,0.0,0.0,0.0
19.06.11,0.0,0.0,0.0
19.06.12,0.0,0.0,0.0
19.06.13,0.0,0.0,0.0
19.06.14,0.0,0.0,0.0
19.06.15,0.0,0.0,0.0
19.06.16,0.0,0.0,0.0
19.06.17,0.0,0.0,0.0
19.06.18,0.0,0.0,0.0
19.06.19,0.0,0.0,0.0
19.06.20,0.0,0.0,0.0
19.06.21,0.0,0.0,0.0
19.06.22,0.0,0.0,0.0
19.06.23,0.0,0.0,0.0
19.06.24,0.0,0.0,0.0
19.06.25,0.0,0.0,0.0
19.06.26,0.0,0.0,0.0
19.06.27,0.0,0.0,0.0
19.06.28,0.0,0.0,0.0
19.06.29,0.0,0.0,0.0
19.06.30,0.0,0.0,0.0
19.07.01,0.0,0.0,0.0
19.07.02,0.0,0.0,0.0
19.07.03,0.0,0.0,0.0
19.07.04,0.0,0.0,0.0
19.07.05,0.0,0.0,0.0
19.07.06,0.0,0.0,0.0
19.07.07,0.0,0.0,0.0
19.07.08,0.0,0.0,0.0
19.07.09,0.0,0.0,0.0
19.07.10,0.0,0.0,0.0
19.07.11,0.0,0.0,0.0
19.07.12,0.0,0.0,0.0
19.07.13,0.0,0.0,0.0
19.07.14,0.0,0.0,0.0
19.07.15,0.0,0.0,0.0
19.07.16,0.0,0.0,0.0
19.07.17,0.0,0.0,0.0
19.07.18,0.0,0.0,0.0
